Blank,Type,Model,Asset Status,MAC Address,Serial,Asset Tag,Computer Name,Asset Condition,Delivery Date,Warranty,OS,Asset Remarks,Blank,Blank,Blank,Brand,Active Directory,Country,OS Version,Supplier,Disposal Date
,Laptop,Dell Latitude E6440,In Stock,,49XTJ12,,FLEET USE,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E7440,In Stock,ECF4BB0AAEA5,83KLVZ1,,non vision,WORKING,,,,,,Migration,2021-07-12,,AD Removed,,,,
,Laptop,Dell Latitude E6430,In Stock,D4BED9800AC5,1C4F8W1,RM460359,non vision,HAS DEFECTS,2019-03-26,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6AD264,1H42433,,PH-L1H42433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,98E743826868,1SQ8YY2,,PH-L1SQ8YY2,,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED663EFC,1YH2433,,PH-L1YH2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,98E743823C72,25K8YY2,,PH-L25K8YY2,WORKING,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Precision 7540,In Use,98E743712B3D,2HYWYY2,,PH-L2HYWYY2,WORKING,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Stock,98E743823BDE,2LG9YY2,,PH-L2LG9YY2,,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6AD286,2N42433,,PH-L2N42433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,98E7438239F4,3439YY2,,PH-L3439YY2,,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E7270,In Use,18DBF2324D61,L34T6CG2,,PH-L34T6CG2,,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6ACE54,3F42433,,PH-L3F42433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6AD0C2,3GS6433,,PH-L3GS6433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6AD4FF,3QV2433,,PH-L3QV2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6AD4EC,43J2433,,PH-L43J2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
