id,brand,model,serial,imei,provider,mobileNumber,amount,effectivityPlan,remarks,assetStatus,byUser,lastChanged,subscriptionStatus,type,assetCondition,country
,Samsung,Samsung A6,,359115090795165,,,,,for repair,In Use,Migration,2021-07-13,,MOBILE,,PH
,Samsung,Samsung S7 Flat,R58H55C685T,358430076062303,SMART,9989646130,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090274120,SMART,9989566597,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094112662,SMART,9989585548,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090272983,SMART,9989566604,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090351506,SMART,9988567072,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung S7 Flat,,358430075479227,SMART,9988567079,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090643134,SMART,9989646128,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Apple,Iphone 6,,356145092492670,SMART,9189194788,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094113082,SMART,9989587632,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090869609,SMART,9989585236,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094113355,SMART,9989592116,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Apple,Iphone 6 Plus,,354376069605539,,,,2020-09-01,,In Stock,Migration,2021-07-13,,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161098158172,SMART,9989585790,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161099099979,SMART,9989594301,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161098158065,SMART,9989588351,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094112266,SMART,9985926173,1000 - Sim Only,2020-11-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,354021089575579,SMART,9988567115,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,35911090789432,SMART,9989591973,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161099084971,SMART,9988567033,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094110393,SMART,9989567846,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Apple,Iphone 7,,,SMART,9285240547,500 - Sim Only,2021-09-01,OLD NUMBER 9985845651,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,samsung J2 Prime,,357161099101054,,,,2018-07-29,,In Use,Migration,2021-07-13,,MOBILE,,PH
,SIM ONLY,SIM ONLY,,,SMART,9988567124,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,SIM ONLY,,PH
,Apple,Iphone 6,,356145092866196,SMART,9989728571,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A10,,,SMART,9209815509,Php800.00,2021-06-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094113066,SMART,9989587633,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090272082,SMART,9985866384,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094114528,SMART,9989588069,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090234868,SMART,9988567113,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090273403,SMART,9989566082,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090350474,SMART,9985922241,500 - Sim Only,2020-11-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161099101247,SMART,9989566812,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Apple,Iphone 8,4181580110011440,356079099946687,SMART,9988567125,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472091181306,SMART,9989589769,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090270821,SMART,9988567129,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090271761,SMART,9988567128,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090275598,SMART,9988567127,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094111359,SMART,9989590785,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090275697,SMART,9988567135,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161099097130,SMART,9985990338,500 - Sim Only,2020-12-01,OLD NUMBER 9985937116,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090285241,SMART,9988567134,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094111631,SMART,9479942011,500 - Sim Only,2020-09-01,old number 9989556706  ,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094113199,,,,2018-07-29,,In Use,Migration,2021-07-13,,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094112985,SMART,9989589883,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
